species	index_ext_event	pre_sapiens	sapiens
Rousettus_amplexicaudatus	2	0	0.338431771
Rousettus_madagascariensis	2	0	0.105
Rusa_alfredi	2	0	0.147263233
Rusa_marianna	2	6.79	0.3
Rusa_timorensis	2	12.48	1.3
Rusa_unicolor	2	0	0.73
Sardolutra_ichnusae	1	0.32857929	0
Sciurus_lis	2	0	0.84
Solenodon_cubanus	2	0	0.05904
Solomys_ponceleti	2	0	0.28
Solomys_salebrosus	2	0	0.28
Sorex_caecutiens	2	0	0.84
Sorex_hosonoi	2	0	0.84
Sorex_ornatus	2	0	0.13
Sorex_shinto	2	0	0.84
Spilocuscus_kraemeri	2	0	0.190384808
Spilocuscus_rufoniger	2	0	0.441290108
Spilogale_gracilis	2	0	0.13
Srilankamys_ohiensis	2	0	0.369467191
Stegodon_aurorae	0	0	0
Stegodon_florensis_florensis	1	3.408290861	0
Stegodon_florensis_insularis	2	0.747344552	0.214281834
Stegodon_luzonensis	1	5.467286269	0
Stegodon_sompoensis	0	0	0
Stegodon_sondaari	0	0	0
Stegodon_sp_B_Sulawesi	0	0	0
Stegodon_sumbaensis	1	2.608577315	0
Stegodon_timorensis	0	0	0
Stegodon_trigonocephalus	1	11.35402103	0
Suncus_murinus	2	0	0.081094203
Sundamys_muelleri	2	0	0.481266078
Sundasciurus_lowii	2	0	0.295421568
Sus_ahoenobarbus	2	0	0.356663374
Sus_barbatus	2	0	0.73
Sus_cebifrons	2	0	0.3
Sus_celebensis	2	1.485	0.455
Sus_oliveri	2	0	0.32
Sus_philippensis	2	0.408183117	0.3
Sus_sondaari	0	0	0
Sus_verrucosus	2	0	0.228991128
Talpa_tyrrhenica	1	3.859684037	0
Taphozous_melanopogon	2	0	0.295107974
Thylogale_browni	2	0	0.178001443
Thylogale_brunii	2	0	0.479845096
Trachypithecus_auratus	2	0	0.378018757
Trachypithecus_cristatus	2	9.610953628	1.3
Tragulus_kanchil	2	0	0.295507306
Tragulus_napu	2	0	0.340804271
Tupaia_minor	2	0	0.296174613
Urocyon_littoralis	2	0	0.13
Ursus_arctos	2	3.66	0.84
Vandeleuria_nolthenii	2	0	0.36900351
Viverra_tangalunga	2	0	0.30532692
Viverricula_indica	2	0	0.45
Vulpes_vulpes	2	0	0.84
Xenocyon_merriami	1	1.448274892	0
Xenocyon_trinilensis	1	1.860471401	0
Xenothrix_mcgregori	2	0	0.004146371
Zygodontomys_brevicauda	2	0	0.03895
