Order,Family,Taxon_name_original,Taxon_name_analysis,Local_Status,Global_Status,MinAge,MaxAge,Site,Island,Source,Criteria
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Lakibong 3 (FVL 7),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Padali (FVL 30),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Padali (FVL 30),Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Padali (FVL 30),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Padali (FVL 30),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Sare Batue (FVL 3/4/4a),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Sare Batue (FVL 3/4/4a),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,1.8,2.5,Sare Batue (FVL 3/4/4a),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Sare Batue (FVL 3/4/4a),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.0117,0.774,Tanrung River (FVL 29),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Elephas_sp,Elephas_sp_Sulawesi,extinct,extinct,0.0117,0.774,Tanrung River (FVL 29),Sulawesi,Van den Bergh et al. 2001,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp_B,Stegodon_sp_B_Sulawesi,extinct,extinct,0.0117,0.774,Tanrung River (FVL 29),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.0117,0.774,Tanrung River (FVL 29),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Bovidae,Bubalus_(Anoa)_sp,Bubalus_(Anoa)_sp_extant_anoa,extant,extant,0.0042,0.129,Tanrung River (FVL 29),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp_B,Stegodon_sp_B_Sulawesi,extinct,extinct,0.0117,1.8,Pintareng,Sangihe,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Sus_celebensis,Sus_celebensis,extant,extant,0.0042,0.774,Paciro River,Sulawesi,Van den Bergh et al. 2001,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Bovidae,Bubalus_grovesi,Bubalus_grovesi,extinct,extinct,0.094,0.137,Talepu,Sulawesi,Van den Bergh et al. 2016,Other geochronological data or stratigraphy
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,0.78,Talepu,Sulawesi,Van den Bergh et al. 2016,Direct dates: Other geochronological data or stratigraphy
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,0.78,Talepu,Sulawesi,Van den Bergh et al. 2016,Indirect dates: Other geochronological data or stratigraphy
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Palangiseng (FVL 2),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.2,1.8,Palangiseng (FVL 2),Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Palangiseng (FVL 2),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 18),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.2,1.8,Marale (FVL 18),Sulawesi,Van den Bergh 1999: Hooijer 1972,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.2,1.8,Marale (FVL 17),Sulawesi,Zeitoun et al. 2015: Hooijer 1972: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 17),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 17),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Marale (FVL 16),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 16),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 15),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_sp,Celebochoerus_nov_sp_Sulawesi,extinct,extinct,0.2,1.8,Marale (FVL 15),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Marale (FVL 15),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Marale (FVL 15),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Marale (FVL 15),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Alupang,Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.0117,1.8,Betue,Sulawesi,Van den Bergh 1999,Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,2.5,Calio (FVL 20),Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999: Hooijer 1954,Other geochronological data or stratigraphy
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,2.5,Calio (FVL 20),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,2.5,Celeko (FVL 27),Sulawesi,Van den Bergh 1999: Hooijer 1954,Other geochronological data or stratigraphy
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,2.5,Celeko (FVL 27),Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999: Hooijer 1954,Other geochronological data or stratigraphy
Artiodactyla,Bovidae,Bubalus_grovesi,Bubalus_grovesi,extinct,extinct,0.0042,0.129,Celeko (FVL 27),Sulawesi,Rozzi 2017,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Bulu Barere (FVL 28),Sulawesi,Zeitoun et al. 2015: Van den Bergh 1999,Other geochronological data or stratigraphy
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Bulu Barere (FVL 28),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy
Artiodactyla,Suidae,Sus_celebensis,Sus_celebensis,extant,extant,0.00037,0.0027,Leang Karassa,Sulawesi,Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Primates,Cercopithecidae,Macaca_maura,Macaca_maura,extant,extant,0.00037,0.0027,Leang Karassa,Sulawesi,Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Rodentia,Muridae,Paruromys_dominator,Paruromys_dominator,extant,extant,0.00037,0.0027,Leang Karassa,Sulawesi,Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Rodentia,Muridae,Rattus_foramineus,Rattus_foramineus,extant,extant,0.00037,0.0027,Leang Karassa,Sulawesi,Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Artiodactyla,Suidae,Babyrousa_celebensis,Babyrousa_celebensis,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Artiodactyla,Suidae,Sus_celebensis,Sus_celebensis,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Diprotodontia,Phalangeridae,Strigocuscus_celebensis,Strigocuscus_celebensis,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Diprotodontia,Phalangeridae,Ailurops_ursinus,Ailurops_ursinus,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Primates,Cercopithecidae,Macaca_maura,Macaca_maura,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Rodentia,Muridae,Lenomys_meyeri,Lenomys_meyeri,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Rodentia,Muridae,Paruromys_dominator,Paruromys_dominator,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Rodentia,Muridae,Maxomys_hellwaldii,Maxomys_hellwaldii,extant,extant,0.0032,0.005,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Artiodactyla,Suidae,Babyrousa_celebensis,Babyrousa_celebensis,extant,extant,0.0028,0.0032,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
Artiodactyla,Suidae,Sus_celebensis,Sus_celebensis,extant,extant,0.0028,0.0032,Leang Burung 1,Sulawesi,Fakhri 2018: Simons & Bulbeck 2004,Indirect dates: Other geochronological data or stratigraphy
