Taxon_name	Status	MinAge	MaxAge	Site
Parapodemus_sp_2	extinct	26.8	28.4	Baccinello 
Eumaiochoerus_etruscus	extinct	26.8	28.4	Baccinello 
Indarctos_anthracitis	extinct	26.8	28.4	Baccinello 
Oreopithecus_bambolii	extinct	26.8	28.4	Baccinello 
Anthracomys_majori	extinct	26.8	28.4	Baccinello 
Anthracomys_lorenzi	extinct	26.8	28.4	Baccinello 
Paludolutra_campanii	extinct	26.8	28.4	Baccinello 
Mustela_majori	extinct	26.8	28.4	Baccinello 
Maremmia_lorenzi	extinct	26.8	28.4	Baccinello 
Tyrrhenotragus_gracillimus	extinct	26.8	28.4	Baccinello 
Anthracoglis_engesseri	extinct	26.8	28.4	Baccinello 
Soricidae_gen_et_sp_indet_V2	extinct	26.8	28.4	Baccinello 
Paludotona_minor	extinct	26.8	28.4	Baccinello 
Bovidae_gen_et_sp_indet_V2	extinct	26.8	28.4	Baccinello 
Oreopithecus_bambolii	extinct	26.8	28.4	Monte Bamboli
Eumaiochoerus_etruscus	extinct	26.8	28.4	Monte Bamboli
Anthracoglis_engesseri	extinct	26.8	28.4	Monte Bamboli
Anthracomys_majori	extinct	26.8	28.4	Monte Bamboli
Parapodemus_sp_2	extinct	26.8	28.4	Monte Bamboli
Maremmia_lorenzi	extinct	26.8	28.4	Monte Bamboli
Indarctos_anthracitis	extinct	26.8	28.4	Monte Bamboli
Paludolutra_campanii	extinct	26.8	28.4	Monte Bamboli
Paludotona_minor	extinct	26.8	28.4	Monte Bamboli
Tyrrhenotragus_gracillimus	extinct	26.8	28.4	Monte Bamboli
Giraffidae_gen_et_sp_indet_V2	extinct	26.8	28.4	Monte Bamboli
Oreopithecus_bambolii	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Tyrrhenolutra_helbingi	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Soricidae_gen_et_sp_indet_V1	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Kowalskia_sp_V1	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Huezelerimys_oreopitheci	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Anthracoglis_marinoi	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Gliridae_nov_gen_et_sp_V1	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Paludotona_etruria	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Maremmia_haupti	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Tyrrhenotragus_gracillimus	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Bovidae_gen_et_sp_indet_V1	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Etruria_viallii	extinct	32.4	33.2	Acquanera + Casteani + Montemassi + Ribolla
Talpa_minor	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Parasorex_depereti	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Soricini_gen_et_sp_indet_D1	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Rhinolophus_sp_D1	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Vespertilionidae_gen_et_sp_indet_D1	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Tyrrhenoglis_aff_T_figariensis	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Rhagapodemus_azzarolii	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Apodemus_mannu	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Prolagus_aff_P_figaro	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Leporidae_gen_et_sp_indet_D1	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Sus_sondaari	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Asoriculus_gibberodon	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Nesogoral_sp_D1	extinct	12.8	16.8	Mandriola (= Capo Mannu D1)
Asoriculus_aff_A_gibberodon	extinct	10	12.8	Nuraghe su Casteddu
Tyrrhenoglis_aff_T_majori	extinct	10	12.8	Nuraghe su Casteddu
Vespertilionidae_gen_et_sp_indet_NSC	extinct	10	12.8	Nuraghe su Casteddu
Sus_sondaari	extinct	7.224	10.32	Capo Mannu (= Capo Mannu D4)
Nesogoral_melonii	extinct	7.224	10.32	Capo Mannu (= Capo Mannu D4)
Nesogoral_cenisae	extinct	4.4	10.32	Campidano
Macaca_majori	extinct	4.4	10.32	Capo Figari 
Nesogoral_melonii	extinct	5.784	8.676	Capo Figari 
