series,order,family,genus,genus.species
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_armenica
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_tianshanica
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_subtilis
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_kluchorica
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_strandi
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_betulina
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_concolor
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_caudata
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_pseudonapaea
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_kazbegica
Mammalia,Rodentia,Heteromyidae,Microdipodops,Microdipodops_pallidus
Mammalia,Rodentia,Heteromyidae,Microdipodops,Microdipodops_megacephalus
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_californicus
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_microps
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_heermanni
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_panamintinus
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_stephensi
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_ingens
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_venustus
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_simulans
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_agilis
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_gravipes
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_compactus
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_ordii
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_phillipsii
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_elator
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_margaritae
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_nitratoides
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_insularis
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_merriami
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_deserti
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_nelsoni
Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys_spectabilis
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_talpoides
